,tweets,cleanTweets_Lemmatized,sentiments_afinn
0,"#BlackStallion
Black Stallion
Black Stallion
Black Stallion
Black Stallion...
And we can go for some time with this, but our Youtubers had no rest so we had to make a short compilation of every single one just to show how many of them covered us😎

#Metaverse #Polygon https://t.co/n0fI2kCTKN",black stallion black stallion black stallion black stallion go time this youtubers rest make short compilation every single one show many covered ussmiling face sunglass,0
1,"The gaming world is about to be revolutionized! Experience an AI-driven, cloud-based gaming revolution with cutting-edge technologies like AI, machine learning, metaverse, and web3. Patented technology delivers low-latency gaming worldwide. Stay tuned for updates on this… https://t.co/X7kEe8mnvR",gaming world revolutionized experience aidriven cloudbased gaming revolution cuttingedge technology like ai machine learning metaverse web3 patented technology delivers lowlatency gaming worldwide stay tuned update this,1
2,"🎁Prize pool
All correct answers: 100Xp
 $25 for one random winner

#nft #giveaway #FreeNFTs #NFTGiveaways #p2e #LandRocker #Metaverse #maze #riddle",wrapped gift prize pool correct answer 100xp 25 one random winner,1
3,"Apply today https://t.co/PnnskTOtZK

#DIFC #InnovationHub #Innovation #DIFCInnovationHub #fintechhive #Metaverse #metaverseprogramme",apply today,0
4,"As the metaverse continues its rapid evolution, now is a great time to break into this field and stake your claim on tomorrow's technology—so apply today to our Metaverse Accelerator Program!",metaverse continues rapid evolution great time break field stake claim tomorrow technology so apply today metaverse accelerator program,1
5,"The Metaverse Accelerator Programme is designed to attract leading startups from all over the world, working on the next step of blockchain technology, the Metaverse. https://t.co/ONq8CLYYXG",metaverse accelerator programme designed attract leading startup world working next step blockchain technology metaverse,1
6,"📣XANA x BreakingDown, the No.1 MMA entertainment co-launches metaverse NFT🔥 https://t.co/ilyjzBQr5T",megaphone xana x breakingdown no1 mma entertainment colaunches metaverse nftfire,0
7,"How to capture opportunity in the #Metaverse? 

@Gartner_inc via @enricomolinari
 #ChatGPT #marketing #ehealth #finserv #fintech #gaming #govtech 

 @JeromeMONANGE @terence_mills @avataverse @albertogaruccio @rshevlin @TylerCohenWood @cgledhill @JBarbosaPR @efipm @Damien_CABADI https://t.co/jz31rGLVht",capture opportunity inc via mill cabadi,1
8,"Want to know how the #Metaverse could revolutionize sustainability? 🤔🌳 Our latest article explores the potential impact of this futuristic technology on the world we live in. Read now! 
https://t.co/FRcp3TP5lM

 #Sustainability #Innovation #royexmetaverse https://t.co/hknZSGdkgl",want know could revolutionize sustainability thinking face deciduous tree latest article explores potential impact futuristic technology world live in read now,1
9,Remember the Metaverse lol,remember metaverse lol,1
